x,y,z,xm,ym,zm
46.5,72.0,0,26.849999999999998,-24.599999999999998,106.964
46.5,72.5,0,27.599999999999998,-24.45,107.932
46.5,73.0,0,28.799999999999997,-24.75,108.17399999999999
46.5,73.5,0,29.7,-24.45,107.932
46.5,74.0,0,30.15,-24.75,107.69
46.5,74.5,0,30.599999999999998,-25.05,107.69
46.5,75.0,0,31.2,-24.75,108.17399999999999
46.5,75.5,0,32.4,-25.5,107.932
46.5,76.0,0,32.85,-25.5,108.416
46.5,76.5,0,33.449999999999996,-25.2,108.658
46.5,77.0,0,34.5,-25.349999999999998,108.416
46.5,77.5,0,35.1,-25.8,108.89999999999999
46.5,78.0,0,35.4,-25.8,108.89999999999999
46.5,78.5,0,36.0,-25.95,108.658
46.5,79.0,0,36.75,-25.65,108.89999999999999
46.5,79.5,0,37.949999999999996,-25.8,108.89999999999999
46.5,80.0,0,38.55,-25.95,108.416
46.5,80.5,0,39.15,-25.95,108.89999999999999
46.5,81.0,0,39.3,-25.95,108.17399999999999
46.5,81.5,0,40.199999999999996,-25.95,108.416
46.5,82.0,0,41.1,-26.25,108.416
46.5,82.5,0,41.699999999999996,-26.099999999999998,108.89999999999999
46.5,83.0,0,42.3,-26.7,108.416
46.5,83.5,0,43.5,-26.25,108.17399999999999
46.5,84.0,0,43.65,-25.95,107.932
46.5,84.5,0,44.25,-25.8,107.932
46.5,85.0,0,44.699999999999996,-25.95,107.69
46.5,85.5,0,45.3,-25.95,108.17399999999999
46.5,86.0,0,45.9,-26.099999999999998,107.932
46.5,86.5,0,47.1,-25.8,107.206
47.0,37.0,0,0.44999999999999996,-6.1499999999999995,97.526
47.0,37.5,0,0.8999999999999999,-6.3,98.00999999999999
47.0,38.0,0,1.5,-6.0,97.768
47.0,38.5,0,1.05,-5.85,98.252
47.0,39.0,0,1.65,-6.0,98.978
47.0,39.5,0,1.65,-5.85,98.978
47.0,40.0,0,2.25,-6.0,99.22
47.0,40.5,0,2.25,-5.85,99.946
47.0,41.0,0,2.25,-5.7,99.704
47.0,41.5,0,2.25,-5.7,100.42999999999999
47.0,42.0,0,2.55,-5.55,100.42999999999999
47.0,42.5,0,2.6999999999999997,-5.3999999999999995,99.946
47.0,43.0,0,2.6999999999999997,-5.85,100.188
47.0,43.5,0,3.15,-5.55,100.188
47.0,44.0,0,3.15,-5.85,100.914
47.0,44.5,0,3.5999999999999996,-5.7,100.914
47.0,45.0,0,3.75,-6.3,100.914
47.0,45.5,0,4.2,-6.45,100.672
47.0,46.0,0,4.05,-6.3,101.15599999999999
47.0,46.5,0,4.35,-6.75,100.914
47.0,47.0,0,4.95,-6.75,100.672
47.0,47.5,0,4.5,-6.75,101.64
47.0,48.0,0,4.5,-7.05,101.88199999999999
47.0,48.5,0,5.1,-7.199999999999999,101.64
47.0,49.0,0,4.95,-7.8,101.88199999999999
47.0,49.5,0,4.8,-8.1,102.124
47.0,50.0,0,5.1,-8.25,101.64
47.0,50.5,0,5.25,-8.549999999999999,101.64
47.0,51.0,0,5.3999999999999995,-8.85,101.88199999999999
47.0,51.5,0,5.55,-9.0,101.398
47.0,52.0,0,5.85,-9.75,101.88199999999999
47.0,52.5,0,6.0,-9.75,102.124
