xm,ym,zm,distance,B
-74.7,51.6,-44.77,16.74102944,171.07
-76.5,52.8,-45.738,16.60328391,175.038
-77.85,54.15,-46.948,16.46552623,178.948
-79.5,54.75,-48.884,16.32775646,183.134
-81.15,56.1,-49.61,16.18997467,186.86
-82.95,57,-50.578,16.05218091,190.528
-84.75,58.05,-52.998,15.91437524,195.798
-86.55,59.1,-53.724,15.77655772,199.374
-88.65,60.75,-54.934,15.6387284,204.334
-90.9,61.8,-57.112,15.50088735,209.812
-93.45,63.45,-58.806,15.36303461,215.706
-95.55,64.65,-60.016,15.22517025,220.216
-97.95,66,-60.984,15.08729432,224.934
-100.35,67.5,-63.404,14.94940688,231.254
-103.5,69.45,-63.888,14.81150798,236.838
-106.35,70.35,-65.824,14.67359768,242.524
-109.35,72.6,-67.034,14.53567602,248.984
-112.35,74.1,-68.97,14.39774308,255.42
-115.5,76.65,-70.906,14.25979889,263.056
-118.8,78,-73.084,14.12184352,269.884
-122.7,80.25,-74.536,13.98387701,277.486
-126.6,82.35,-76.472,13.84589943,285.422
-130.35,84.45,-77.44,13.70791081,292.24
-134.4,86.7,-79.134,13.56991122,300.234
-139.2,89.25,-80.828,13.43190071,309.278
-143.25,91.5,-82.522,13.29387932,317.272
-148.5,94.5,-83.974,13.15584712,326.974
-153.3,97.35,-85.91,13.01780414,336.56
-159.15,100.05,-86.878,12.87975045,346.078
-164.1,102.6,-89.54,12.74168608,356.24
-169.95,106.35,-90.75,12.6036111,367.05
-175.65,109.5,-91.718,12.46552554,376.868
-182.4,112.95,-93.412,12.32742947,388.762
-188.7,116.7,-94.38,12.18932293,399.78
-195.75,120.9,-96.074,12.05120596,412.724
-203.1,124.35,-97.042,11.91307862,424.492
-211.8,128.25,-98.01,11.77494096,438.06
-219,132.6,-99.462,11.63679302,451.062
-227.85,137.4,-100.43,11.49863484,465.68
-236.85,141.75,-100.914,11.36046649,479.514
-247.2,147.3,-101.64,11.222288,496.14
-256.35,151.95,-102.124,11.08409942,510.424
-267.15,157.5,-101.882,10.9459008,526.532
-277.5,163.2,-102.366,10.80769219,543.066
-290.55,169.65,-102.608,10.66947362,562.808
-301.5,175.2,-102.366,10.53124515,579.066
-314.85,182.4,-101.398,10.39300682,598.648
-328.2,188.25,-100.672,10.25475868,617.122
-342.9,196.05,-99.704,10.11650076,638.654
-356.85,203.85,-98.494,9.97823313,659.194
-372,212.7,-96.558,9.83995581,681.258
-388.2,219.75,-95.106,9.70166885,703.056
-405.9,228.75,-92.444,9.56337231,727.094
-422.4,237.15,-89.782,9.42506621,749.332
-441.45,248.1,-86.636,9.28675061,776.186
-461.25,257.1,-82.038,9.14842554,800.388
-482.7,268.35,-77.682,9.01009106,828.732
-502.2,278.85,-72.116,8.87174719,853.166
-523.35,291.45,-66.308,8.733394,881.108
-547.65,302.85,-59.29,8.5950315,909.79
-572.7,315.9,-52.03,8.45665976,940.63
-596.25,327.6,-42.592,8.3182788,966.442
-622.65,342.75,-33.638,8.17988868,999.038
-649.5,355.95,-23.474,8.04148943,1028.924
-680.7,371.1,-11.616,7.90308109,1063.416
-709.05,386.4,3.388,7.7646637,1098.838
-740.7,404.7,16.698,7.6262373,1162.098
-770.4,419.55,32.67,7.48780194,1222.62
-805.8,436.35,49.126,7.34935765,1291.276
-839.85,454.2,71.148,7.21090448,1365.198
-875.1,476.25,91.96,7.07244245,1443.31
-911.85,493.35,116.16,6.93397162,1521.36
-952.8,513.3,139.876,6.79549202,1605.976
-989.55,532.35,169.884,6.65700368,1691.784
-1031.25,557.55,200.134,6.51850665,1788.934
-1073.4,577.8,234.256,6.38000097,1885.456
-1116.15,602.4,270.072,6.24148667,1988.622
-1155.45,622.35,314.6,6.10296379,2092.4
-1201.8,649.8,355.498,5.96443237,2207.098
-1247.1,672.15,405.108,5.82589244,2324.358
-1293.45,699.3,453.508,5.68734405,2446.258
-1335,722.1,514.25,5.54878723,2571.35
-1379.85,751.2,568.7,5.41022201,2699.75
-1423.95,774.45,637.428,5.27164844,2835.828
-1468.5,803.4,705.672,5.13306654,2977.572
-1506.9,827.1,785.048,4.99447636,3119.048
-1548.15,857.25,860.068,4.85587793,3265.468
-1588.5,881.1,948.398,4.71727129,3417.998
-1624.35,908.85,1034.55,4.57865646,3567.75
-1656.6,931.8,1139.094,4.4400335,3727.494
-1688.55,959.85,1232.506,4.30140243,3880.906
-1720.35,981.9,1347.698,4.16276328,4049.948
-1743.6,1006.65,1461.68,4.0241161,4211.93
-1763.4,1023.3,1586.068,3.88546091,4372.768
-1778.25,1050,1701.986,3.74679776,4530.236
-1790.4,1062.45,1836.78,3.60812666,4689.63
-1792.5,1078.5,1962.862,3.46944767,4833.862
-1790.1,1085.85,2117.742,3.33076081,4993.692
-1782,1097.55,2254.714,3.19206611,5134.264
-1773.75,1101,2405.48,3.05336361,5280.23
-1744.8,1101.9,2545.356,2.91465334,5392.056
-1721.1,1089.15,2717.418,2.77593534,5527.668
-1680,1084.05,2868.91,2.63720964,5632.96
-1647.15,1071,3023.548,2.49847626,5741.698
-1589.4,1052.7,3160.036,2.35973525,5802.136
-1535.1,1024.5,3337.664,2.22098664,5897.264
-1468.05,994.65,3470.764,2.08223045,5933.464
-1404.15,959.7,3627.096,1.94346671,5990.946
-1318.05,922.2,3754.872,1.80469547,5995.122
-1240.65,868.35,3901.524,1.66591675,6010.524
-1150.05,814.95,4024.944,1.52713058,5989.944
-1068.3,754.05,4151.994,1.388337,5974.344
-953.7,685.2,4259.684,1.24953603,5898.584
-863.1,606.6,4368.826,1.11072771,5838.526
-754.05,525.6,4452.8,0.97191207,5732.45
-656.25,440.7,4529.272,0.8330891,5626.222
-535.2,345.9,4587.352,0.6942589,5468.452
-439.2,244.05,4648.578,0.5554215,5331.828
-325.65,148.95,4686.572,0.4165769,5161.172
-220.65,50.4,4710.53,0.277725,4981.58
-102.75,-56.4,4710.53,0.1388661,4869.68
-11.7,-170.85,4711.27,0,4885.82
